Value,_name,_oid,_valueType
85,.1.3.6.1.4.1.17409.1.1.1.1.4.12.1.3.6.1.4.1.17409.1.3.1.13.0,.1.3.6.1.4.1.17409.1.1.1.1.4.12.1.3.6.1.4.1.17409.1.3.1.13.0,Integer
1500,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.4.1.2.1,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.4.1.2.1,Integer
10000,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.4.1.2.2,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.4.1.2.2,Integer
10000,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.4.1.2.3,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.4.1.2.3,Integer
200,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.4.1.3.1,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.4.1.3.1,Integer
200,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.4.1.3.2,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.4.1.3.2,Integer
200,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.4.1.3.3,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.4.1.3.3,Integer
350,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.4.1.4.1,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.4.1.4.1,Integer
350,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.4.1.4.2,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.4.1.4.2,Integer
350,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.4.1.4.3,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.4.1.4.3,Integer
65,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.7.1.2.1,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.7.1.2.1,Integer
-35,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.7.1.2.2,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.7.1.2.2,Integer
40,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.7.1.2.3,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.7.1.2.3,Integer
160,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.7.1.2.4,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.7.1.2.4,Integer
65,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.7.1.2.5,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.7.1.2.5,Integer
65,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.7.1.2.6,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.7.1.2.6,Integer
-35,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.7.1.2.7,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.7.1.2.7,Integer
-35,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.7.1.2.8,.1.3.6.1.4.1.17409.1.1.1.1.4.13.1.3.6.1.4.1.17409.1.11.7.1.2.8,Integer
350,.1.3.6.1.4.1.17409.1.1.1.1.5.11.1.3.6.1.4.1.17409.1.11.2.0,.1.3.6.1.4.1.17409.1.1.1.1.5.11.1.3.6.1.4.1.17409.1.11.2.0,Integer
110,.1.3.6.1.4.1.17409.1.1.1.1.5.11.1.3.6.1.4.1.17409.1.11.3.0,.1.3.6.1.4.1.17409.1.1.1.1.5.11.1.3.6.1.4.1.17409.1.11.3.0,Integer
70,.1.3.6.1.4.1.17409.1.1.1.1.5.12.1.3.6.1.4.1.17409.1.3.1.13.0,.1.3.6.1.4.1.17409.1.1.1.1.5.12.1.3.6.1.4.1.17409.1.3.1.13.0,Integer
1200,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.4.1.2.1,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.4.1.2.1,Integer
9000,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.4.1.2.2,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.4.1.2.2,Integer
9000,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.4.1.2.3,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.4.1.2.3,Integer
150,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.4.1.3.1,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.4.1.3.1,Integer
150,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.4.1.3.2,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.4.1.3.2,Integer
150,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.4.1.3.3,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.4.1.3.3,Integer
300,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.4.1.4.1,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.4.1.4.1,Integer
300,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.4.1.4.2,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.4.1.4.2,Integer
300,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.4.1.4.3,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.4.1.4.3,Integer
60,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.7.1.2.1,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.7.1.2.1,Integer
-40,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.7.1.2.2,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.7.1.2.2,Integer
36,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.7.1.2.3,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.7.1.2.3,Integer
140,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.7.1.2.4,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.7.1.2.4,Integer
60,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.7.1.2.5,.1.3.6.1.4.1.17409.1.1.1.1.5.13.1.3.6.1.4.1.17409.1.11.7.1.2.5,Integer
